district,amphoe,province,zipcode,district_code,amphoe_code,province_code
ขามทะเลสอ,ขามทะเลสอ,นครราชสีมา,30280,301901,3019,30
บึงอ้อ,ขามทะเลสอ,นครราชสีมา,30280,301905,3019,30
พันดุง,ขามทะเลสอ,นครราชสีมา,30280,301903,3019,30
หนองสรวง,ขามทะเลสอ,นครราชสีมา,30280,301904,3019,30
โป่งแดง,ขามทะเลสอ,นครราชสีมา,30280,301902,3019,30
ขามสะแกแสง,ขามสะแกแสง,นครราชสีมา,30290,301101,3011,30
ชีวึก,ขามสะแกแสง,นครราชสีมา,30290,301104,3011,30
พะงาด,ขามสะแกแสง,นครราชสีมา,30290,301105,3011,30
หนองหัวฟาน,ขามสะแกแสง,นครราชสีมา,30290,301106,3011,30
เมืองนาท,ขามสะแกแสง,นครราชสีมา,30290,301103,3011,30
เมืองเกษตร,ขามสะแกแสง,นครราชสีมา,30290,301107,3011,30
โนนเมือง,ขามสะแกแสง,นครราชสีมา,30290,301102,3011,30
ขามสมบูรณ์,คง,นครราชสีมา,30260,300410,3004,30
คูขาด,คง,นครราชสีมา,30260,300402,3004,30
ดอนใหญ่,คง,นครราชสีมา,30260,300409,3004,30
ตาจั่น,คง,นครราชสีมา,30260,300404,3004,30
บ้านปรางค์,คง,นครราชสีมา,30260,300405,3004,30
หนองบัว,คง,นครราชสีมา,30260,300407,3004,30
หนองมะนาว,คง,นครราชสีมา,30260,300406,3004,30
เทพาลัย,คง,นครราชสีมา,30260,300403,3004,30
เมืองคง,คง,นครราชสีมา,30260,300401,3004,30
โนนเต็ง,คง,นครราชสีมา,30260,300408,3004,30
ครบุรี,ครบุรี,นครราชสีมา,30250,300203,3002,30
ครบุรีใต้,ครบุรี,นครราชสีมา,30250,300210,3002,30
จระเข้หิน,ครบุรี,นครราชสีมา,30250,300205,3002,30
ตะแบกบาน,ครบุรี,นครราชสีมา,30250,300211,3002,30
บ้านใหม่,ครบุรี,นครราชสีมา,30250,300113,3002,30
มาบตะโกเอน,ครบุรี,นครราชสีมา,30250,300206,3002,30
ลำเพียก,ครบุรี,นครราชสีมา,30250,300209,3002,30
สระว่านพระยา,ครบุรี,นครราชสีมา,30250,300212,3002,30
อรพิมพ์,ครบุรี,นครราชสีมา,30250,300207,3002,30
เฉลียง,ครบุรี,นครราชสีมา,30250,300202,3002,30
แชะ,ครบุรี,นครราชสีมา,30250,300201,3002,30
โคกกระชาย,ครบุรี,นครราชสีมา,30250,300204,3002,30
คลองเมือง,จักราช,นครราชสีมา,30230,300611,3006,30
จักราช,จักราช,นครราชสีมา,30230,300601,3006,30
ทองหลาง,จักราช,นครราชสีมา,30230,300603,3006,30
ศรีละกอ,จักราช,นครราชสีมา,30230,300610,3006,30
สีสุก,จักราช,นครราชสีมา,30230,300604,3006,30
หนองขาม,จักราช,นครราชสีมา,30230,300605,3006,30
หนองพลวง,จักราช,นครราชสีมา,30230,300607,3006,30
หินโคน,จักราช,นครราชสีมา,30230,300613,3006,30
ชุมพวง,ชุมพวง,นครราชสีมา,30270,301701,3017,30
ตลาดไทร,ชุมพวง,นครราชสีมา,30270,301306,3017,30
ท่าลาด,ชุมพวง,นครราชสีมา,30270,301703,3017,30
ประสุข,ชุมพวง,นครราชสีมา,30270,301702,3017,30
สาหร่าย,ชุมพวง,นครราชสีมา,30270,301704,3017,30
หนองหลัก,ชุมพวง,นครราชสีมา,30270,301714,3017,30
โนนตูม,ชุมพวง,นครราชสีมา,30270,301716,3017,30
โนนยอ,ชุมพวง,นครราชสีมา,30270,301717,3017,30
โนนรัง,ชุมพวง,นครราชสีมา,30270,301710,3017,30
กุดพิมาน,ด่านขุนทด,นครราชสีมา,30210,300801,3008,30
ด่านขุนทด,ด่านขุนทด,นครราชสีมา,30210,300802,3008,30
ด่านนอก,ด่านขุนทด,นครราชสีมา,30210,300803,3008,30
ด่านใน,ด่านขุนทด,นครราชสีมา,30210,300804,3008,30
ตะเคียน,ด่านขุนทด,นครราชสีมา,30210,300805,3008,30
